antecedent,consequent,support,confidence,lift
beef,other vegetables,0.019725470259278087,0.375968992248062,1.9430662316130793
beef,root vegetables,0.017386883579054397,0.3313953488372093,3.0403668431100312
beef,whole milk,0.02125063548551093,0.4050387596899225,1.5851795469758805
berries,other vegetables,0.010269445856634469,0.308868501529052,1.5962804585066874
berries,whole milk,0.01179461108286731,0.3547400611620795,1.3883280945201162
berries,yogurt,0.010574478901881037,0.3180428134556575,2.2798477189040756
bottled water,whole milk,0.03436705643111337,0.3109475620975161,1.2169396232507246
brown bread,whole milk,0.02521606507371632,0.3887147335423197,1.5212930379581038
butter,other vegetables,0.020030503304524657,0.3614678899082569,1.868122279163272
butter,whole milk,0.02755465175394001,0.4972477064220184,1.9460530014566457
butter milk,other vegetables,0.010371123538383325,0.3709090909090909,1.9169158744565997
butter milk,whole milk,0.011591255719369599,0.41454545454545455,1.622385414028868
chicken,other vegetables,0.017895271987798677,0.41706161137440756,2.1554392789633727
chicken,whole milk,0.01759023894255211,0.4099526066350711,1.6044106192821028
chocolate,whole milk,0.016675139806812404,0.3360655737704918,1.3152427051463536
citrus fruit,other vegetables,0.02887646161667514,0.3488943488943489,1.803140263466065
citrus fruit,whole milk,0.030503304524656837,0.36855036855036855,1.4423767905662055
coffee,whole milk,0.018708693441789527,0.3222416812609457,1.2611408417037013
cream cheese ,other vegetables,0.013726487036095577,0.34615384615384615,1.7889769190347224
cream cheese ,whole milk,0.016471784443314694,0.4153846153846154,1.6256695950289264
cream cheese ,yogurt,0.012404677173360447,0.3128205128205128,2.242412349555207
curd,other vegetables,0.017183528215556684,0.32251908396946566,1.666828791823276
curd,whole milk,0.026131164209456024,0.4904580152671756,1.9194805332879712
curd,yogurt,0.01728520589730554,0.3244274809160305,2.325615360648076
dessert,other vegetables,0.011591255719369599,0.31232876712328766,1.6141636493208273
dessert,whole milk,0.013726487036095577,0.3698630136986301,1.447514022970962
domestic eggs,other vegetables,0.02226741230299949,0.35096153846153844,1.8138238206879824
domestic eggs,whole milk,0.029994916115912557,0.47275641025641024,1.850202664095422
frankfurter,rolls/buns,0.019217081850533807,0.3258620689655172,1.7716160576428204
frankfurter,whole milk,0.020538891713268937,0.3482758620689655,1.3630294880414946
frozen vegetables,other vegetables,0.017793594306049824,0.3699788583509514,1.912108287904155
frozen vegetables,whole milk,0.02043721403152008,0.4249471458773784,1.6630939831691272
fruit/vegetable juice,whole milk,0.026639552618200304,0.36849507735583686,1.4421604002366317
ham,whole milk,0.011489578037620742,0.44140625,1.727509139972145
hamburger meat,other vegetables,0.013828164717844434,0.41590214067278286,2.149446954028807
hamburger meat,whole milk,0.014743263853584139,0.4434250764525994,1.7354101181501453
hard cheese,whole milk,0.010066090493136757,0.4107883817427386,1.607681549717403
hygiene articles,whole milk,0.012811387900355872,0.3888888888888889,1.5219746208604148
long life bakery product,whole milk,0.013523131672597865,0.36141304347826086,1.4144438052561463
margarine,other vegetables,0.019725470259278087,0.3368055555555556,1.7406634991533834
margarine,whole milk,0.024199288256227757,0.4131944444444444,1.6170980346641906
napkins,whole milk,0.019725470259278087,0.3766990291262136,1.4742677880844848
newspapers,whole milk,0.027351296390442297,0.34267515923566877,1.341110302858258
oil,whole milk,0.01128622267412303,0.40217391304347827,1.57396754269105
onions,other vegetables,0.014234875444839857,0.45901639344262296,2.3722681185014167
onions,whole milk,0.012099644128113879,0.3901639344262295,1.5269647015845473
pip fruit,other vegetables,0.026131164209456024,0.34543010752688175,1.7852365252374574
pork,other vegetables,0.021657346212506354,0.37566137566137564,1.9414764212452071
root vegetables,other vegetables,0.047381799694966954,0.43470149253731344,2.2466049285887952
sugar,other vegetables,0.010777834265378749,0.3183183183183183,1.6451185815347662
tropical fruit,other vegetables,0.035892221657346214,0.34205426356589147,1.7677896385551988
whipped/sour cream,other vegetables,0.02887646161667514,0.40283687943262414,2.081923651718265
white bread,other vegetables,0.013726487036095577,0.32608695652173914,1.685268112134159
other vegetables,whole milk,0.07483477376715811,0.38675775091960063,1.513634094824621
yogurt,other vegetables,0.04341637010676157,0.3112244897959184,1.6084565723294049
pastry,whole milk,0.033248601931875954,0.3737142857142857,1.4625865499403103
pip fruit,whole milk,0.030096593797661414,0.3978494623655914,1.5570431605115764
pork,whole milk,0.022165734621250637,0.3844797178130511,1.5047186727780972
sausage,rolls/buns,0.030604982206405694,0.32575757575757575,1.771047958858904
rolls/buns,whole milk,0.05663446873411286,0.30790491984521834,1.2050317893663838
root vegetables,whole milk,0.048906964921199794,0.44869402985074625,1.75603095247994
sausage,whole milk,0.0298932384341637,0.3181818181818182,1.2452519625221574
sliced cheese,whole milk,0.010777834265378749,0.43983402489626555,1.7213560027277244
sugar,whole milk,0.015048296898830707,0.4444444444444444,1.7393995666976168
tropical fruit,whole milk,0.04229791560752415,0.40310077519379844,1.5775949558420246
waffles,whole milk,0.012709710218607015,0.3306878306878307,1.2941961061738219
whipped/sour cream,whole milk,0.032231825114387394,0.44964539007092197,1.7597542424781212
white bread,whole milk,0.01708185053380783,0.4057971014492754,1.5881474304630416
yogurt,whole milk,0.05602440264361973,0.40160349854227406,1.5717351405345266
"bottled water,whole milk",other vegetables,0.010777834265378749,0.3136094674556213,1.6207825078434237
"bottled water,other vegetables",whole milk,0.010777834265378749,0.4344262295081967,1.7001917895794327
"butter,whole milk",other vegetables,0.011489578037620742,0.41697416974169743,2.154987367004516
"butter,other vegetables",whole milk,0.011489578037620742,0.5736040609137056,2.2448849737709087
"citrus fruit,root vegetables",other vegetables,0.010371123538383325,0.5862068965517241,3.0296084222733612
"citrus fruit,other vegetables",root vegetables,0.010371123538383325,0.3591549295774648,3.295045459323103
"citrus fruit,whole milk",other vegetables,0.013014743263853584,0.4266666666666667,2.205079698721317
"citrus fruit,other vegetables",whole milk,0.013014743263853584,0.4507042253521127,1.763898152144062
"citrus fruit,yogurt",whole milk,0.010269445856634469,0.47417840375586856,1.855767847568232
"citrus fruit,whole milk",yogurt,0.010269445856634469,0.33666666666666667,2.4133503401360543
"curd,yogurt",whole milk,0.010066090493136757,0.5823529411764706,2.2791250204817306
"curd,whole milk",yogurt,0.010066090493136757,0.3852140077821012,2.7613555149686335
"domestic eggs,whole milk",other vegetables,0.012302999491611592,0.4101694915254237,2.119819731556775
"domestic eggs,other vegetables",whole milk,0.012302999491611592,0.5525114155251142,2.162335762709709
"fruit/vegetable juice,whole milk",other vegetables,0.01047280122013218,0.3931297709923664,2.0317558054177214
"fruit/vegetable juice,other vegetables",whole milk,0.01047280122013218,0.4975845410628019,1.9473712540201578
"pastry,whole milk",other vegetables,0.010574478901881037,0.3180428134556575,1.6436947295514404
"other vegetables,pastry",whole milk,0.010574478901881037,0.46846846846846846,1.833421164897488
"pip fruit,whole milk",other vegetables,0.013523131672597865,0.44932432432432434,2.3221779977560324
"other vegetables,pip fruit",whole milk,0.013523131672597865,0.5175097276264592,2.0253514409893456
"pork,whole milk",other vegetables,0.010167768174885612,0.45871559633027525,2.3707135522376546
"other vegetables,pork",whole milk,0.010167768174885612,0.4694835680751174,1.837393908483398
"rolls/buns,root vegetables",other vegetables,0.012201321809862735,0.502092050209205,2.594889812825818
"rolls/buns,whole milk",other vegetables,0.017895271987798677,0.31597845601436264,1.6330258091966667
"other vegetables,rolls/buns",whole milk,0.017895271987798677,0.4200477326968974,1.6439193995519243
"rolls/buns,yogurt",other vegetables,0.011489578037620742,0.3343195266272189,1.7278153149651592
"root vegetables,tropical fruit",other vegetables,0.012302999491611592,0.5845410628019324,3.0209991343441964
"other vegetables,tropical fruit",root vegetables,0.012302999491611592,0.34277620396600567,3.1447798190351364
"root vegetables,whole milk",other vegetables,0.023182511438739197,0.47401247401247404,2.4497701954349353
"other vegetables,whole milk",root vegetables,0.023182511438739197,0.30978260869565216,2.84208204899416
"other vegetables,root vegetables",whole milk,0.023182511438739197,0.4892703862660944,1.9148325702057456
"root vegetables,yogurt",other vegetables,0.012913065582104729,0.5,2.5840777719390435
"sausage,whole milk",other vegetables,0.010167768174885612,0.3401360544217687,1.7578760353326826
"other vegetables,sausage",whole milk,0.010167768174885612,0.37735849056603776,1.4768486887055237
"soda,whole milk",other vegetables,0.013929842399593289,0.3477157360406091,1.7970490089119238
"other vegetables,soda",whole milk,0.013929842399593289,0.4254658385093168,1.6651239640824236
"tropical fruit,whole milk",other vegetables,0.01708185053380783,0.40384615384615385,2.087139738873843
"other vegetables,tropical fruit",whole milk,0.01708185053380783,0.47592067988668557,1.8625865048490062
